current_x,current_y,current_z,goal_x,goal_y,goal_z,nearest_obstacle_distance,target_dx,target_dy,target_dz
0.4,0.4,-0.5,4.6,1.6,-1.0,1.151782106327635,0.9779152836050584,0.20014827508223182,-0.06018609534805949
0.7775812845854145,0.477278925976603,-0.5232383556906125,4.6,1.6,-1.0,0.780232808290362,0.9121426328472794,0.34365213053797916,-0.22338090903016053
1.1338645301901331,0.6115095737042018,-0.6104910203610109,4.6,1.6,-1.0,0.40661064767474264,0.9085980667596398,0.017572930193750405,-0.41730174359215244
1.5210122467551228,0.6189972847689296,-0.7883005745090377,4.6,1.6,-1.0,0.1409509292365289,0.9239083868806808,0.27054045941535515,-0.2705571149884378
1.8348951535125892,0.7109090229916922,-0.8802179711929282,4.6,1.6,-1.0,0.03901456930491898,0.9678663546884219,0.23341801683225327,-0.09354543751698398
2.252125425831743,0.8115314511351621,-0.9205437746268024,4.6,1.6,-1.0,0.3034062733302595,0.9935732318311092,0.06715547905891855,-0.09111736728556129
2.473405180522106,0.8264877195371245,-0.9408366207251441,4.6,1.6,-1.0,0.24157293792679324,0.8663883667578159,0.4223232757781627,-0.26648498772487383
2.750702630101076,0.9616570867221488,-1.0261281715843986,4.6,1.6,-1.0,0.06140504931509039,0.957688034958935,0.18327779236614683,0.22190736473106365
3.150122612281148,1.0380961878580717,-0.9335779543622437,4.6,1.6,-1.0,0.06992679135509555,0.9627375059411384,0.11494307012567155,-0.24479498623199258
3.46296269989058,1.07544676359269,-1.0131237126468995,4.6,1.6,-1.0,0.20789843441446393,0.9822934188898051,0.1767855018068622,-0.062020364048219506
3.5998734456266526,1.100086890893002,-1.0217680282143002,4.6,1.6,-1.0,0.10055306236332867,0.9904531689825634,0.08611894401404538,-0.10763850395793914
3.9369651764694624,1.1293966904929875,-1.0584018143849123,4.6,1.6,-1.0,0.043291296745322005,0.6065723503321333,0.6174851249987331,-0.5007814934857823
