index,x,y,z
0,0.4,0.4,-0.5
1,0.5958,0.4362,-0.5184
2,0.9867,0.5396,-0.5978
3,1.2126,0.5465,-0.7005
4,1.5289,0.5765,-0.7457
5,1.8787,0.673,-0.7274
6,2.2006,0.7969,-0.7579
7,2.6202,0.8708,-0.7552
8,2.8047,0.9775,-0.8014
9,3.1174,1.0853,-0.7905
10,3.4004,1.0568,-0.879
11,3.751,1.0485,-0.998
12,3.9684,1.1942,-0.9543
13,4.322,1.3882,-0.9673
14,4.6,1.6,-1.0
15,4.6,1.6,-1.0
