index,x,y,z
0,0.4,0.4,-0.5
1,0.7176,0.6027,-0.4938
2,1.1044,0.6855,-0.5482
3,1.5076,0.6472,-0.7406
4,1.8923,0.673,-0.7654
5,2.2629,0.8199,-0.7976
6,2.4477,0.8956,-0.8093
7,2.7815,1.0943,-0.8191
8,3.1752,1.1338,-0.8627
9,3.573,1.1194,-0.902
10,3.9273,1.1112,-0.9521
11,4.2574,1.3354,-0.9748
12,4.6,1.6,-1.0
13,4.6,1.6,-1.0
