index,x,y,z
0,0.4,0.4,-0.5
1,0.591,0.4546,-0.5231
2,0.9607,0.5981,-0.5467
3,1.3431,0.7047,-0.596
4,1.6943,0.6755,-0.7076
5,1.8842,0.7356,-0.7255
6,2.2638,0.8554,-0.7652
7,2.4528,0.9174,-0.7856
8,2.8333,1.0357,-0.8198
9,3.0229,1.097,-0.8376
10,3.4037,1.2146,-0.8716
11,3.6763,1.1295,-0.8853
12,3.985,1.1206,-0.9308
13,4.143,1.2419,-0.9488
14,4.458,1.4857,-0.985
15,4.6,1.6,-1.0
