epoch,train_loss,val_loss,lr
216,0.03087,0.029212,0.000606
217,0.030582,0.029161,0.00060293
218,0.031181,0.029694,0.00059985
219,0.030975,0.029742,0.00059677
220,0.031102,0.029066,0.00059369
221,0.030699,0.029018,0.0005906
222,0.031149,0.029545,0.00058751
223,0.031157,0.029532,0.00058442
224,0.030647,0.028925,0.00058132
225,0.030722,0.029275,0.00057822
226,0.031056,0.029076,0.00057511
227,0.031275,0.029689,0.00057201
228,0.03113,0.029579,0.0005689
229,0.031387,0.029982,0.00056578
230,0.030922,0.029225,0.00056267
231,0.030513,0.029243,0.00055955
232,0.030654,0.029714,0.00055643
233,0.030867,0.029178,0.00055331
234,0.030657,0.028884,0.00055018
235,0.03071,0.02936,0.00054705
236,0.030621,0.028922,0.00054393
237,0.03041,0.028928,0.0005408
238,0.030842,0.029322,0.00053766
239,0.031171,0.02898,0.00053453
240,0.031187,0.029314,0.0005314
241,0.030876,0.029314,0.00052826
242,0.030624,0.029409,0.00052512
243,0.030717,0.029295,0.00052198
244,0.03061,0.029286,0.00051885
245,0.030954,0.029254,0.00051571
246,0.030952,0.029485,0.00051257
247,0.030781,0.029601,0.00050942
248,0.030781,0.02932,0.00050628
249,0.030638,0.029415,0.00050314
250,0.030559,0.029411,0.0005
251,0.030266,0.029402,0.00049686
252,0.030841,0.029052,0.00049372
253,0.030254,0.029349,0.00049058
254,0.030398,0.02909,0.00048743
255,0.030416,0.028921,0.00048429
256,0.030552,0.029319,0.00048115
257,0.030638,0.029443,0.00047802
258,0.030864,0.029641,0.00047488
259,0.030754,0.029125,0.00047174
260,0.030494,0.029261,0.0004686
261,0.030591,0.029114,0.00046547
262,0.030353,0.029274,0.00046234
263,0.030119,0.029116,0.0004592
264,0.031014,0.029435,0.00045607
265,0.030169,0.028913,0.00045295
266,0.030557,0.029206,0.00044982
267,0.03103,0.029395,0.00044669
268,0.030563,0.029625,0.00044357
269,0.030762,0.029448,0.00044045
270,0.030579,0.029808,0.00043733
271,0.030423,0.029452,0.00043422
272,0.030496,0.029081,0.0004311
273,0.030287,0.028949,0.00042799
274,0.030298,0.029357,0.00042489
275,0.03033,0.029185,0.00042178
276,0.03055,0.029339,0.00041868
277,0.03037,0.029507,0.00041558
278,0.030305,0.029138,0.00041249
279,0.030357,0.029444,0.0004094
280,0.030054,0.029301,0.00040631
281,0.030275,0.029351,0.00040323
282,0.030437,0.029352,0.00040015
283,0.030383,0.029455,0.00039707
284,0.030513,0.029245,0.000394
